[2025-03-03T03:24:38.327Z] EPC Success: E2806915000050221FA14628
[2025-03-03T03:24:43.172Z] EPC Success: E2806915000050221FA14628
[2025-03-03T03:31:13.746Z] EPC Scan Success: E28069150000401D8F3455B1
[2025-03-03T03:31:46.399Z] EPC Scan Success: E28069150000401D8F3455B1
[2025-03-03T03:31:50.121Z] EPC Scan Success: E28069150000401D8F3455B1
[2025-03-03T03:35:38.884Z] EPC Scan Success: E28069150000401D8F3455B1
[2025-03-03T03:36:03.087Z] EPC Scan Success: E28069150000401D8F3455B1
[2025-03-03T03:41:14.713Z] EPC Scan Success: E28069150000501D2B943A69
[2025-03-03T03:42:04.305Z] EPC Scan Success: E28069150000501D8F3575BC
[2025-03-03T03:42:09.604Z] EPC Scan Success: E28069150000501D2B943A69
[2025-03-03T07:55:17.812Z] EPC Scan Success: E28069150000401D8F3159EB
[2025-03-03T08:14:22.156Z] EPC Scan Success: E28069150000401D2B94FE35
[2025-03-03T08:15:23.589Z] EPC Scan Success: E28069150000501D8F328A0A
[2025-03-03T08:24:11.969Z] EPC Scan Success: E28069150000501D2B95F0E6
[2025-03-03T08:24:15.406Z] EPC Scan Success: E28069150000501D2B95F0E6
[2025-03-03T08:25:32.754Z] EPC Scan Success: E28069150000501D2B95F0E6
[2025-03-03T08:26:26.096Z] EPC Scan Success: E28069150000501D2B95F0E6
[2025-03-03T08:27:43.201Z] EPC Scan Success: E28069150000501D2B95F0E6
